gene	CGC	OncoKB	2020Rule	CTAT	Oncogene	TSgene
RASGEF1A						
GDF15						
FKBP3						
SLC7A9						
ZCCHC10						
NUGGC						
TTF1						TSG
VEGFA		ONC				TSG
RGS19						
APOL3						
LSM14A	ONC					
QTRTD1						
ABCC4						
SLC25A10						
AIF1						TSG
TMED6						
FKBP4						
MRPS30						
AKAP8						
DUSP16						
AHSP						
HMMR						
CRY2						
URB1						
SCAF4				TSG		
ICAM2						
RPP40						
DIS3L						
SSTR5						
NIPSNAP1						
MFSD7						
C17orf67						
KLHL41						
LYRM2						
TPSD1						
LENG8						
CHST2						
EAPP						
COL5A3						
RBL1						TSG
CCDC149						
FZD1						
ARC						
EML2						
TOGARAM2						
MYH7B						
MPP1						
LSM2						
PTX4						
RBM43						
INSIG1						
SPATA13						
DPY19L1						
IFI27L2						
RPRD2						
ICOSLG		ONC				
COL6A6						
HIST1H1E		ONC				
C10orf90						
PRUNE						
CHEK2	TSG	TSG		PSSIBLE_TSG		TSG
PDSS1						
MREG						
SIRT2						TSG
CBX2						
ZNF85						
AK3						
PPT1						
INTS14						
RBMXL1						
ZFP36L2				PSSIBLE_TSG		TSG
CLMP						
GDPD4						
ATP6AP1L						
NOXA1						
TAF1D						
LTBP1						
CRNN						TSG
PPIF						
CHP1						
CD68						
ELOVL2						
VPS41						
RAPGEF3						
CPT2						
TLR5						
CIT						
ZNF410						
TGM5						
MLYCD						
IMPA2						
TMBIM6						
ACSM4						
RSPO3	ONC					
FAM57B						
APCDD1L						
HAPLN1						
VN1R1						
RBAK						
CCND1	ONC	ONC		PSSIBLE_ONCOGENE	ONC	
TMEM155						
KATNA1						
GREM1		ONC			ONC	TSG
VKORC1L1						
PRKX						
DSCC1						
TNIP3						
CRY1						
APEX2						
PRKG1						
CYP24A1					ONC	
WDR26						
SPOCK2						
BTC						
XPO1	ONC	ONC				
DYNLT1						
PHF19						
SUPT16H						
MYO1B						
VSTM5						
RPL10	TSG					TSG
ATOH1						
TPRG1L						
PSG8						
PPP1R3A						
CFDP1						
OR8A1						
TSC22D1						TSG
CGNL1						
PTBP2						
GKN1						TSG
GTF2H1						
OR5AU1						
SFXN4						
HSPA14						
WRAP53						
PRELID3B						
UROC1						
CAMK2D						
ASPM						
POC1B						
RCL1						
C20orf27						
B3GNT8						
PPEF2						
ZMPSTE24						
SELENOI						
IKZF1	ONC/TSG				ONC	TSG
ELSPBP1						
TSSK2						
DCAF6						
PATE2						
AAR2						
TAC1					ONC	
COL27A1						
CNOT3	TSG					TSG
CAPG					ONC	TSG
RANBP2	ONC/TSG					
CTC1						
HERPUD1	ONC					
PCYT2						
TIMM44						
C3orf22						
OR4C13						
ARMC9						
WNT10B					ONC	
MRPL11						
AGAP3						
CYTH1						
DSC1						
FDX1L						
ZNF101						
IZUMO1R						
TRIM62						TSG
BRSK1						TSG
GRB10						
GCNA						
ZNF429						
OR10P1						
FAM3D						
LCN10						
TMEM216						
LSM4						
GSTM4						
UBE2Z						
C2orf49						
OR4C46						
ICAM3						
GPATCH2						
TEX30						
OR2G2						
PRDX5						
GRAP						
TRPV3						
PLAC4						
KIAA1671						
ILVBL						
PCGF5						
MORN4						
ZNF232						
AES						
UBXN1						
SLC27A6						
PRRT2						
CLASP2						
FXR1						
NDRG2						TSG
FAM81B						
PTAFR						
TNFSF18						
TNFAIP8L3						
ZNF138						
TECPR1						
OR2AK2						
TRMT5						
FBXW7	TSG	TSG	TSG	TSG		TSG
RNPS1						
CES2						
OR2W1						
QRSL1						
GLYAT						
SLMAP						
TRPV5						
FLYWCH1						
C1orf94						
CRAMP1						
MXRA7						
NTPCR						
CHTOP						
CPEB4						
COMMD3						
ZNF503						
BNIP3L						TSG
WTAP						
TDRD10						
MRPL42						
CPSF3L						
CEPT1						
SMCO3						
ZNF350						
ALMS1						
NIFK						
ZNF804A						
LAMP1						
C9orf41						
ZMIZ1						
TMPRSS12						
RNF166						
CA8						
GPR119						
THYN1						
IL23R						
ZC3HAV1L						
ALAS1						
VGLL1						
DPAGT1						
ZNF705A						
ETV5	ONC	ONC				
CTRC						
EPHA10						
ZNF532						
HNRNPA3						
EYA1						
PRAMEF11						
RRP1B						
PAEP						TSG
PCDHA5						
BRSK2						
CARD10						
APOA2						
SYTL1						
TXNDC17						
HSCB						
FBN2						
VWA3A						
CATSPERG						
TCTN2						
BMPER						
SEC16B						
SLC5A3						
ARIH2OS						
ZNF775						
MAFK						
USP20						
RNF10						
SGK2						
APC2						
TRAF2						
CLEC4M						
NSD2	ONC					
XAB2						
PRDM4						TSG
HIST1H2AJ						
GNGT1						
ADAMDEC1						
ZFP69						
ZCCHC9						
IGFN1						
EI24						TSG
ACCS						
NDOR1						
XRRA1						
N4BP2L2						
LAMC3						
IFNA7						
PCOLCE						
C1orf213						
CENPW					ONC	
INADL						
ALG11						
EFHD2						
KBTBD7						
MNAT1					ONC	
FCGR2B	ONC					
AGA						
CDC6					ONC	
TFIP11						
COG5						
NPY						
CD1B						
SLC12A3						
SRD5A2						
PIM2					ONC	
SERPINB5						TSG
OBP2B						
C17orf51						
VGLL3						
SLC25A44						
TTC7B						
MARVELD1						TSG
CHRFAM7A						
ZNF354A						
PQBP1						
C16orf59						
SLC26A7						
C11orf71						
ZNF597						
LRRC16A						
SKP2					ONC	TSG
BIRC2					ONC	
FHL3						
SWAP70					ONC	
NXF1						
IFNA21						
TM9SF3						
GC						
LEMD2						
LRIG3	ONC/TSG					TSG
CTSL						
WBP2						
TNFRSF4						
SDR39U1						
TAGLN3						
TMCC3						
DMD						TSG
BEND2						
GDF10						
EPGN						
PM20D1						
NICN1						
ARHGEF38						
SGOL1						
FAM46A						
PNPLA7						
LY86						
FAM151A						
MTX1						
ZYG11A						
HIPK3						
CIDEB						
RPS2						
ZGLP1						
GPR17						
SLC25A30						
TTC14						
BHLHA15						
MAP3K9						
ADH4						
DIDO1						TSG
FMNL3						
FGL1						
CDK5RAP2						
MYO9A						
MEP1B						
PRSS38						
ACOX3						
SNAPC3						
KCNE5						
GTSE1						
AP1M2						
FAM64A						
TEX101						
POC1A						
SAP30BP						
RALYL						
PUS7L						
LIPA						
RASGEF1C						
NAT8						
EMID1						
RNFT1						
NEURL2						
TFF2						
CCSAP						
C4orf27						
GHRL						
ANKRD34C						
LRP3						
FAM26F						
PCDH11Y						
JAKMIP2						
KDELR1						
GLT6D1						
RASSF8						TSG
ATXN7L1						
TAS2R16						
MPP6						
PTS						
TFCP2					ONC	
CHAF1A						
DGCR14						
TAS2R46						
HERPUD2						
ZNF781						
SPDYE5						
SLAIN2						
GLUL						
SSTR2						
CAP2						
ERCC4	TSG	TSG				
BTNL3						
XPC	TSG					
HIST1H2BI						
PITX2					ONC	
TCTN3						
LHX9						
C3orf36						
ISOC1						
PI15						
ZNF114						
ADGRB3						
POM121L2						
KBTBD13						
ESYT2						
VEGFC						
PIGO						
GPRC5A						TSG
KRTAP21-3						
OR4K15						
DDX51						
CHAC2						
HNRNPA2B1	ONC					
VAC14						
SCRIB						TSG
FN3K						
CERS1						
DROSHA	TSG					
CLSTN3						
IPO11						
ASIP						
SLC2A4						
CDIPT						
IGFBP1						
TMEM80						
APLNR		TSG/ONC				
MTNR1B						
ORC2						
RPE						
NOD2						
SPTBN4						
TGM7						
PRPH2						
MIOS						
RTL4						
FOXD4L4						
KIAA1407						
GPR50						
YWHAE	ONC/TSG					
FBXL20						
RPL38						
STK3						
ZNF827						
WDR74						
PECAM1						
PCDHGA6						
DUSP22		TSG				TSG
ACAA1						
TUFT1						
GON7						
CILP2						
BSDC1						
CEP164						
IGFLR1						
BYSL						
GSPT1						
ABCA6						
NDUFA11						
NT5DC2						
CYB5D1						
KRT32						
RNF17						
OVCH2						
COL4A1						
C16orf82						
ADGRD2						
OTX2					ONC	
ZDHHC16						
PKN3						
CHPF2						
HIST3H2BB						
EBF2						
JMJD7-PLA2G4B						
PLEKHB1						
OR5L1						
MSH2	TSG	TSG	TSG			TSG
EML5						
TRAM2						
FAM78B						
LRRC73						
COX16						
CENPJ						
KIF3C						
TRIM24	TSG/ONC					TSG
FBXL19						
ABHD15						
SERPINF2						
NRIP3						
C2orf80						
TPPP2						
ZC3HC1						
RMI1						
FAT3						
TRADD						
DNM1L						
CDX1						
CHAT						
SHPK						
PRH1						
SPDYE6						
MAZ						
TGM2						
TAF2						
CDC25A					ONC	
FLYWCH2						
TDRD1						
TIFA						
DHX32						
ZXDC						
IL1RAPL2						
CACNB1						
MEIG1						
BLOC1S4						
TBC1D2B						
ERCC8						
HARS2						
CNN1						TSG
SNX13						
RNF38						
ROGDI						
CLDN25						
TNS4					ONC	
CLCC1						
RBBP9						
GLYATL2						
COMMD9						
CSPG5						
CD1A						
PTPRN						
KCNE1L						
KTN1	ONC					
ROBO3						
CYSLTR2	ONC					
CCDC60						
FLT3	ONC	ONC	ONC		ONC	TSG
PLEK						
TBRG1						TSG
PTGDR						TSG
TRAPPC8						
ALPK3						
TMEM198						
NTN3						
MYCL	ONC	ONC			ONC	
OR5AP2						
TMEM114						
PRSS16						
HIPK2						TSG
POU6F2						TSG
TMEM8B						
PLP1						
WDR5						
CNIH3						
SPATA25						
PRDX6						
PAPL						
UFSP1						
STRADB						
ZNF485						
ANKRD45						
SLITRK5						
CPNE7						TSG
ZNF117						
IFT172						
OTUD7B						
CCDC172						
ESR2						TSG
TTC5						
SOD2						TSG
SEC31A						
GRINA						
CHGB						
NCOA5						TSG
SPNS2						
PCNXL3						
MTSS1L						
ABCC12						
SLFN5						
PHTF2						
BRCC3						
HOXA10						
CORO6						
SUN1						
PRKACB						
ERG	ONC	ONC			ONC	
ITPKB						
PTPRU						
FAT2						
ZNF121						
TACSTD2					ONC	
C6orf25						
CDC20						
KRTAP4-12						
METAP1D						
SLC25A34						
C1orf216						
KANSL1L						
SLC6A7						
TMEM87A						
PHF8						
LAMB1						
R3HCC1L						
PRIM1						
CCT2						
PROSC						
VCX2						
COX6B1						
ADTRP						
C1orf86						
C11orf52						
SELP						
KLHL24						
RPH3AL						
BEST4						
MRPL54						
TRAM1						
PRAMEF9						
MACROD2						
PEX5						
PDE1B						
ALCAM						
DNAH10						
RFTN2						
RRAGD						
ZBTB12						
ZNF445						
NOL4L						
RBBP8NL						
SHOX2						
MR1						
CGB8						
NAPSA						
SFTA2						
ARHGEF19						
PPP1R32						
PPP1R17						
TRIM50						
XCL1					ONC	
ANKRD30B						
COX7A2L						
PPFIA4						
ART3						
NOTCH4		TSG/ONC			ONC	
LCMT1						
AQP8						
MUC7						
TMEM117						
CRTC1	ONC				ONC	
GLTP						
GADL1						
ZNF644						
SUGP2						
FAM127A						
BAG6						
KIF25						
OR4N5						
FAM168B						
C20orf166						
PRB1						
SLFN14						
PLPBP						
GNA13		ONC			ONC	
LPO						
KRTAP10-10						
PPP2CB						TSG
NELFB						
SPAM1						
ZNF683						
ASS1						TSG
C2orf76						
PCDHGA11						
PHYHD1						
PARVA						
ZBTB21						
C16orf52						
HIRA						TSG
INTS10						
C17orf59						
LCE3A						
CDHR1						
TSTA3						
ANKRD18A						
DDX27						
RTL10						
NCOA1	ONC					
AGAP2					ONC	
RBM4						TSG
ELL3						
ATP5I						
NDUFS4						
HIST1H3A						
RNF149						
CLIC1						
CCDC126						
FGF21						
PTPN2		TSG				
FAXDC2						
ADD1						
B4GALT6						
KLHDC8A						
C8orf37						
GLI4						
PTGS1						
MEF2A						
SMG1		TSG				
UPP1						
PCDHGB3						
GLIPR1L2						
USP17L2						
TSPYL5						
DHCR24						
POU2F2						
KLHL21						
FAM160A2						
DHRS2						
CEACAM5						
NRBP1						TSG
IFNA14						
RXFP3						
STH						
CCNO						
CT45A3						
ZNF207						
ZNF615						
SDPR						
DGKZ						
RHBDF1						
PCYT1B						
GDF9						
SPTBN5						
SLFN12						
HIST1H4F						
HGF		ONC				
JAGN1						
DSN1						
SHISA3						TSG
THNSL2						
EID1						
MRVI1						TSG
ATF4						
CP						
EML4	ONC				ONC	
TRPC1						
AMZ1						
SFRP5						TSG
PIP5KL1						
SLC39A10						
SPRR2A						
CRNKL1						
OR8B8						
ZC3H12B						
DMRTC2						
SNAI3						
IBA57						
RANBP17						
RMDN2						
MAS1					ONC	
ABO						
POU5F1B						
IDI1						
TAF9B						
NME5						
CLCNKA						
CST4						
WDR86						
VCL						
PAICS						
CD58		TSG				
SLC7A10						
TRANK1						
NXPH2						
MIA2						TSG
LMTK3						
AFG3L2						
C19orf48						
IQCC						
DUOX1						
NPLOC4						
UTP18						
C19orf60						
ALS2CR11						
EMG1						
SYT14						
MYH10						
ATP6V1C2						
IFT122						
ID3	TSG	TSG				
TDRP						
PPDPF						
PPP1R15A						
PALMD						
APOBEC3G						
TMEM63B						
FOXO1	TSG/ONC	TSG			ONC	TSG
ATG16L2						
ZDHHC19						
IL33						
TREX2						TSG
OR2M7						
SPOUT1						
UNG						
BNC1						
MAP1LC3C						
TRPT1						
KANSL2						
CPXCR1						
SFI1						
NES						
MRPL28						
MTHFD1L						
PRPF19						
SRGN						
CXXC5						TSG
GCNT4						
CLEC12A						
LIPI						
PI4K2A						
CTAG1B						
COQ8A						
CYP4A22						
PASK						
TMIE						
NKX2-4						
ANKRD55						
UQCRH						
MARCKS						TSG
CDCA7						
ENDOD1						
MBOAT1						
NFE2		ONC				
ZC4H2						
ACY3						
HOXA4						
CREBL2						
CEP83						
TM9SF2						
ARHGAP11A						
PPIB						
FOXF1		TSG/ONC				
NR4A2						
SIRPB1						
PGM2						
HCRTR2						
DNLZ						
MT1F						TSG
C14orf142						
DUS1L						
OR6S1						
ZBED5						
PGAP2						
DCAF8						
DHX29						
RAPGEF4						
C22orf39						
SAMD7						
C11orf16						
ORC6						
CHRNA3						
CELSR1						
NLRP5						
JUP					ONC	TSG
TRAF6					ONC	
BCL6	ONC	ONC			ONC	
SSH2						
KLB						
SIGLEC14						
CTAG2						
NPHS2						
DEFA6						
COMMD8						
ADH7						
SAMD9L						TSG
DTX1		TSG				
CACNA1D	ONC					
GFRA1						
ABI2						TSG
BOLA3						
ZNF660						
CEACAM21						
KIAA0319						
INVS						
NLN						
RGS5						
FBXL18						
VASH2						
MYO1D						
IFT27						
GCNT7						
MAP1B						
DLEC1						TSG
PTGER1						
ZNF404						
OR5I1						
C10orf67						
CCNDBP1						TSG
NLRP7						
TNPO3						
CLDN23						TSG
XCL2						
RTP1						
ST20						
NPPA						
ZNF276						
MOB3A						
NDUFA7						
SLC25A53						
TM2D2						
CACNA1H						
UBXN6						
NMNAT2						
ARL6IP4						
EYA3						
OR2A1						
KIAA1211						
GCNT1						
DEGS2						
PRSS53						
IGFL3						
CEACAM4						
PSG2						
RINT1					ONC	TSG
GAD2						
WNK3						
HIST2H2AA3						
PES1						
SURF6						
CDK20						
C1orf146						
EXOC3L4						
FXYD5						
TERT	TSG/ONC	ONC				
BTG1	ONC/TSG	TSG				
ATG9A						
CACHD1						
PRDM10					ONC	
MBNL2						
GPC6						
ANXA5						
SYNJ2						
SSBP4						
P2RY1						
STOML1						
AGAP11						
RGS3						
KRTAP1-3						
TMEM41A						
ZNF566						
EXD3						
PPAP2A						
TRPC5						
C2orf78						
ATP5ME						
FA2H						
FUS	ONC/TSG				ONC	
PEX11B						
ACOT4						
OR10H4						
GIGYF2						
ACPT						
RAB37						
ZNF143						
TMEM107						
KRT36						
CYR61						
RAX2						
ABCD2						
OR4F6						
MYL6						
TENT4A						
PLPP7						
ITGA11						
C12orf43						
DLG2						
TSPYL4						
PFDN6						
KIAA1324L						
PYGB						
SLC2A9						
PRPF38A						
ABCG2						TSG
HEPH						
PHEX						
BDNF						
TUBGCP4						
OSBPL1A						
LAPTM5						
FAAP20						
TEPP						
ELP3						
BVES						
MBD5						
ZSWIM6						
MAPK6						
GJB3						
CCDC64B						
SHFM1						
FAM181A						
SOX2	ONC	ONC			ONC	
C14orf79						
SV2B						
INTS11						
COX7A1						
AACS						
THOC6						
KCMF1						
HBEGF						
OR52K1						
SPANXC						
SLC15A5						
SDR9C7						
RILPL2						
C7orf55						
BTNL9						
NDNF						
ANKH						
AADACL4						
WWTR1	ONC	ONC			ONC	
KDM6B						
ZNF205						
INTS1					ONC	
CPSF7						
OTUD6B						
WHRN						
APOBEC1						
FEZF1					ONC	
SIGLEC7						
PHACTR4						TSG
SHARPIN						
USP50						
NUP107						
KLHL4						
CRKL		ONC			ONC	
BBC3		TSG				
SYT10						
NKX2-1	TSG/ONC	ONC			ONC	
ALDH1A2						TSG
SCCPDH						
SYDE1						
STK17B						
TPD52L2						
JAKMIP1						
ZNF154						
PCDHA9						
OR2T11						
TAF1L						
COCH						
DTD2						
KDM5C	TSG	TSG	TSG	PSSIBLE_TSG		
ANKS1A						
KLHL3						
H2AFB1						
ARL6IP1						
FOXD4L1						
CNPY4						
A2M						
PREP						
ZNF395						
TMEM158						
DDX42						
LAPTM4A						
CXCL8						
EPHB6						TSG
G6PC3						
PSMG2						
GSTM1						
ZPR1						
AHNAK						TSG
AGPAT6						
DRAXIN						
WASHC3						
ZNF540						
ZNF219						
HTN3						
NDUFAF8						
ACP2						
LASP1	ONC					
KIF5A						
SETD4						
KLRG2						
URAD						
NIPAL2						
ROS1	ONC	ONC			ONC	
HSF2BP						
PTGER2						
RUNX1T1	TSG/ONC	ONC			ONC	
ZDHHC11						
RRAGC		ONC				
TOR1AIP2						
TMEM185A						
TEX47						
ZFYVE19						
L3MBTL3						
MS4A12						
BCL6B						TSG
RNF181						
CHST7						
CYP4B1						
MGRN1						
CNTFR						
DUSP23						
CASC10						
LSM12						
SLC22A12						
IL1RL2						
RSRP1						
CTCF	TSG	TSG		TSG		TSG
C3orf14						
SBNO2						
KRTAP5-11						
NECTIN4					ONC	
SSX2B					ONC	
ALG1L						
TRIM73						
KIAA1279						
ISL2						
ARRB1						
FIS1						
DDX5	ONC					
ZNF528						
KLF6	TSG				ONC	TSG
RNF19A						
NUCB1						
LPHN1						
NADSYN1						
GRPEL1						
SFTA3						
SLC8A3						
CPPED1						
URM1						
RPL34						
SLC12A7						
NEK9						
ZAN						
DEC1						
SEPT11						
UBE2R2						
SPATA31D3						
COL25A1						
YPEL4						
BRD8						
MARCKSL1						
PPP2R2A						
GPR56						
PLCB2						
ZNF768						
CCDC114						
ASB7						
TMED7						
TK2						
COL9A2						
F11R						
TTLL7						
GPR137B						
KLF4	TSG/ONC	TSG/ONC	ONC		ONC	TSG
TMEM192						
DAZ1						
KLC1						
MED15						
VWA3B						
TG						
ODAPH						
CDH24						
SHBG						
ZBTB26						
TPRX1						
LRRC2						
FAM133A						
ARHGEF18						
UBXN8						
RIPPLY2						
FAM188A						TSG
ZNF124						
DDX20						
CLBA1						
PCDP1						
CASZ1						
DYNLRB1						
ALPL						TSG
PSG1						
UST						
KRTAP1-1						
TMEM71						
C9orf131						
ATP1B4						
UNC45A						
MAP1A						
PSMC3IP						
EIF4E1B						
E2F6						
LPCAT2						
ADH1A						
ADPRHL1						
TVP23B						
FABP12						
TMEM161B						
TMSB15A						
ZNF202						
LRPAP1						
MFSD13A						
CHST1						
DHX38						
HDAC2						
GABRG3						
RNF40						
FOXL1						
TP53TG3B						
GANAB						TSG
ABI3						
GPATCH8						
ACSM6						
CD1C						
NME8						
SCNN1B						
FUT10						
NECTIN2						
THG1L						
LRRC75A						
LRCH3						
TMF1						
DBT						
KIAA1210						
SNX19						
NFIB	ONC				ONC	
PID1						
FAM217B						
LEKR1						
B3GNT1						
RPS19BP1						
TMEM252						
ADAMTS1						
BCL2L12	ONC				ONC	
CISD3						
BHLHE23						
GSTA2						
GNAI1						
GPX3						TSG
PVRIG						
FSD1L						
OR1A1						
KLHL15						
PELI3						
STEAP2						
NCR2						
PGBD2						
SLC10A1						
CBR1						
VCPIP1						
GOLGA6D						
GLRB						
MZB1						TSG
COPS2						TSG
DGCR8	ONC					
OXTR						
GABRA3						
MTMR3						
SLC7A4						
PLA2G4A						
S100A7L2						
MCU						
CPS1						
NEK4						
LUC7L						
EPYC						
FAM171A2						
ARL14						
TBL1XR1	TSG/ONC	TSG		PSSIBLE_TSG		
REXO4						
ZNF682						
IRF6				PSSIBLE_TSG		
C9orf9						
RPL23					ONC	
GDF5						
ATP5MC2						
SMPDL3B						
MOCS3						
KLHL42						
CMPK1						
LGR4						
KIAA1586						
TIPRL						
LAMA4						
CARNMT1						
MYNN						
TMC5						
OR4D5						
NDUFS1						
DLL4						
FAM98B						
EIF3J						
EMC6						
DSEL						
C1QL1						
DEDD						
NDST2						
OSGIN2						
PDLIM2						
WFDC13						
GPR158						
RNF185						
EIF5B						
THPO						
NOC2L						
DYRK2						
SAFB2						TSG
SF3B1	ONC	ONC	ONC	ONC		
UGT1A1						
C14orf1						
ZDHHC21						
ZNF142						
TRAFD1						
TMEM245						
G6PD						
C1orf141						
GJD3						
PRPF6						
HSFY2						
EHD2						
GABRR2						
DCP1A						
SLC35E4						
RBM25						
NUP62						
RPL13A						
EHMT2						
VARS2						
MROH6						
SLC20A2						
CDK5						
STMP1						
MIB2						
TULP2						
PIGN						
LGI1						
ASCL4						
UBE2E2						
FBRSL1						
ANKS3						
ERP29						
C19orf43						
R3HCC1						
CST9L						
DHX36						
APLN						
LILRB4						
BCS1L						
TACC1						
MEAF6						
C3orf33						
BRAP						
KRT83						
SLC25A39						
AGBL2						
TXNL4B						
HNF4G						
OR52E2						
SEBOX						
RAF1	ONC	ONC			ONC	
WFDC2						
GRAMD2						
MAPKAPK2						
TP53I3						
SYN2						
CERCAM						
VHLL						
S100G						
C1orf50						
NME1					ONC	TSG
OOEP						
EBLN2						
NKX3-2						
MOB3B		TSG				
FAM154B						
HIST2H3A						
LRRC29						
URB2						
HIVEP2						
CARD6						
FIBP						
LPXN						
TMEM62						
TMEM42						
LGALS3						
NXPH3						
SCEL						
CCDC63						
PIBF1						
ATF5						
DEDD2						
LTBP3						
CD9						
GTF2B						
FANCL						
AIF1L						
KIF2C						
LILRA4						
SCAMP4						
C9orf129						
BEX4						
IL9R						
KIAA0040						
FAM69C						
SPANXA2						
S100A9						
CEP85						
FMC1						
KRT6A						
PCDH20						
HIST1H2BD						
GK						
TARBP2						
NCKAP5						
AGR3						
RPA3						
SPATA16						
NFAM1						
SMTNL2						
ZNF281						
FAM241B						
RBM44						
FAU						
ORAOV1						
ASPHD1						
CYS1						
TMEM156						
METTL3						
ZNF613						
CDYL						
NDUFA5						
OR6C68						
WHSC1L1					ONC	TSG
RLIM						
CALML6						
CCDC190						
KLHL30						
CWC15						
PNPLA5						
MAGEA9						
HNRNPD						
GAL						
RPP25						
ZNF853						
DEFB1						TSG
CHMP5						
ETAA1		TSG				
PQLC1						
ECM2						
XRCC3						
ALOX15B						TSG
SCAND1						
UBXN7						
ASF1A						
SNX12						
AHCYL1					ONC	TSG
ZNF627						
RFXAP						
KIAA1549	ONC					
GATB						
FARS2						
GAPVD1						
PRKG2						
GOLGA5	ONC					
GAPDHS						
ARL3						
OR5F1						
NPHS1						
HNF1B						
UHRF1BP1L						
RGR					ONC	
KCTD6						
BICDL2						
DDX54						
PPP1R1A						
CCL11						
KIR3DL3						
ASNSD1						
GPN2						
PALB2	TSG	TSG				TSG
ZNF610						
GTF2I		ONC		ONC		
ZNF510						
TRIM40						
PRKRIR						
UBE2T						
C1orf64						
FBXO24						
FAM131B	ONC					
MYOCD						
TNFRSF10C						
SNAPC2						
CIZ1						TSG
RAB43						
FBH1						
CENPT						
CNPPD1						
ZFR2						
C6orf48						
FOLR4						
HIST1H4A						
CCDC89						
HSD17B2						
CALD1						
TEAD2						
PKNOX2						
TRPC3						
TOP1MT						
MOGAT1						
CLEC3A						
HELB						
CAMTA2						
PIK3R6						
KIRREL2						
SF3A2						
SPAST						
NRN1						
WRAP73						
COPS3					ONC	
NSD1	ONC	TSG/ONC		TSG	ONC	
TYROBP						
UBE2V1						
GSTO2						
DNASE1L3						
PGM1						
NGDN						
CD96						
RCC1						
C1QTNF9B						
KIAA1462						
TNIK						
MED8						
DACH2						
MRPS12						
UBD						
TMEM233						
POLM						
EIF1AY						
OR10G9						
CACNA1S						
KIF21A						
GTF2IRD2						
CABP2						
OR10AG1						
TRAF3IP1						
P4HTM						
CHD7						
TF						
MDH2						
C7orf33						
PBDC1						
GOSR2						
CLDN11						
MERTK					ONC	
RAP1B						
BMPR1B						
TUBG2						
C9orf16						
GSTP1						TSG
RBM22						
LONP2						
POTEF						
TMEM180						
OR4S2						
HOXB7						
ALDH18A1						
TRIM64B						
DMXL2						
MCCC1						
ATP5MG						
CYB561D1						
CC2D1B						
DNAJC6						
EFCAB14						
GPX5						
LRMDA						
OR7D4						
PRRT3						
RALGAPA1						
IGSF11						
MARK2						
FANCE	TSG					
ATP6V0C						
ZBTB48						TSG
ELMO2						
NPM1	ONC	TSG	TSG		ONC	TSG
HIF1A	ONC	ONC				TSG
ZSCAN4						
PUS7						
GJA3						
STOML2						
TRPM6						
THOP1						
COQ10B						
FAHD1						
ABCA12						
OSBPL2						
ACSS1						
EXOG						
CAMK1						
CDK9						
TOR3A						
TPD52L1						
CDY2A						
DDRGK1						
NXN						
ATXN7L3						
FKBP9						
LRP5		TSG/ONC				
HINFP						
ELOF1						
HACD4						TSG
TYW5						
SSB						
TMEM31						
PDIK1L						
PSMD4						
ZNF687						
OR11H6						
ESRRG						
EBF3						TSG
BTRC						
C11orf48						
NMRAL1						
NID1						
CNN2						
ZNF302						
GCN1L1						
TARS2						
RHPN2						
UGT1A8						
HIVEP1						TSG
CCR1						
GDAP2						
OR2A14						
NIPBL				TSG		
OR2T3						
CHD2	TSG					
RTN1						
MRPL49						
GYPB						
OR10A7						
RAPGEFL1						
C16orf78						
STK32B						
OR7G3						
DEFB108B						
NDRG4						TSG
TRA2B						
C4orf45						
KRT74						
HADHB						
RNF217						
LPGAT1						
IFNK						
DNAJC5B						
KCNH2						
POLR3K						
FADS1						
FAM104B						
OR5M1						
SMIM19						
CFAP300						
RRP1						
ANKRD52						
C3AR1						
GLUD1						
ZNF638						
SLC29A4						
CD40						
GINS2						
TIGIT						
SPRY4						TSG
GPX4						
SMAD6						
PIK3R4						
KRTAP25-1						
EIF3H						
AP3S2						
TRAF7	TSG		TSG			
GUCY1B1						
EZR	ONC					
ZNF385B						
CACYBP						
ZCCHC12						
PLEKHA4						
MARF1						
CAMK2A						
NUFIP1						
PADI1						
TRIM39						
CFB						
TGM6						
CXorf22						
GRIP2						
ANXA8L1						
SEC22C						
MUM1L1						
ZSWIM7						
COL4A3						
AGFG2						
PLA1A						
CACNA1F						
SLC25A33						
NRXN3						
RNF13						
UBE3D						
THUMPD3						
ACTL9						
ELTD1						
MAF1						
LY6E						
ZBTB43						
PHYH						
PARD6G						
C14orf80						
ERLIN2						
EIPR1						
RABEPK						
KCNJ9						
TIAL1						
SPG11						
CEP250						
DNTTIP1						
AADAT						
ELOVL3						
KRT40						
RHBDD3						
FAM151B						
GRAMD3						
HLA-DRB5						
TULP1						
EXOC4						
RAP1GDS1	ONC					
RAB11FIP3						
MAP3K8					ONC	TSG
MAPK1IP1L						
ID1					ONC	
DPM1						
KRT7						
SLFN11		TSG				
HDHD2						
MROH1						
FOXI1						
ASPSCR1	ONC				ONC	
GPA33						
GGA1						
BOLA1						
RPS24						
SNCB						
NBPF4						
C17orf98						
SYS1						
WDR17						
CCR6						
FNDC1						
HSD17B14						
PCNA						
MITF	ONC	TSG/ONC			ONC	
GCSAM						
PER3						
IGFBP4						TSG
PNCK						
SERINC4						
MTM1						
SAMD12						
PTPA						
SNX31						
LRIT1						
PVALB						
TRIM37						
LAPTM4B					ONC	
VWDE						
FBXO8						
POU4F1						
TJP2						
YWHAH						
C1orf112						
OR2T1						
PDXP						
ZNF883						
CTAGE5						
ZNF257						
PTPN4						
FRG2C						
CLSPN						
LAMB4						
