gene	CGC	OncoKB	2020Rule	CTAT	Oncogene	TSgene
AXDND1						
SPHK2						
MIPOL1						
SYK	ONC	ONC			ONC	TSG
ATP6V0D2						
MED25						
POLK						
PRPF40A						
C11orf31						
INTS8					ONC	
WNT5A					ONC	TSG
ADM						
MTPN						
GALNT6						
SLC29A3						
KRT3						
TCFL5						
OSR1						
FAM19A3						
C5orf46						
AHI1					ONC	
NPPC						
SERBP1						
RSRC1						
MLANA					ONC	
IL1RL1						
CECR5						
TCP10						
AVIL						
TNFSF14						
ZFPM1						
PPAPDC3						
COX20						
TAL1	ONC	ONC			ONC	
TFCP2L1						
DEFB115						
DDX3X	TSG	TSG		TSG		TSG
SKI	ONC				ONC	
GABRR3						
MTURN						
HMGB1						
LAMTOR2						
SSX4B						
ZNF518B						
MARCH2						
PBX3						
CHST13						
PRMT7						
RWDD1						
TOX						
ITGAE						
DIXDC1						
SCGB2B2						
RSPH14						
CEACAM1						TSG
PTGFRN						
FAM218A						
TMEM11						
MRPL41						
PAQR3						
ITGA9						
SPX						
OR7G1						
SLC7A2						
HSPA8						
RNF112						
OR1L8						
AK5						
RUFY1						
PRODH						TSG
GLIPR2						
RBM42						
PTAR1						
DCXR						
SLC6A18						
BAIAP2L2						
POLR2A						
EMILIN2						
TEX15						
RAB40AL						
A4GNT						
C6orf226						
BMPR1A	TSG/ONC	TSG				TSG
TCF12	ONC			TSG		
DDX46						
PCARE						
HPCAL1						
MYT1						
SBF1						
CLNK						
PRSS27						
ANKS1B						
RAB32						
TMEM250						
AGK						
GOLGA7						
DHRS12						
PDILT						
SELV						
KLHDC3						
ELMOD1						
CHST5						
CCSER2						
C19orf33						
LMNB2						
RBPMS2						
C4orf47						
TIGD4						
SHPRH						TSG
ST6GAL2						
METTL23						
STPG3						
ZNF789						
RTL5						
NT5C3B						
SNRPD2						
PRSS8						
ITGA1						
SELE						
MYBPHL						
UAP1L1						
ACKR3	ONC					
HSPA6						
CDC123						
ARHGAP35	TSG	TSG/ONC		TSG		
MARCH5						
SAT2						
STX4						
SHISA4						
AQR						
MPC2						
NAA80						
FAM107A						
DNAJC4						
MARS						
CLGN						
GADD45B						TSG
OSR2						
KCNA10						
TBPL1						
SDC3						
CYB561						
RIN3						
MYO5B						
ALG1						
LARGE						
FTMT						
OSBPL5						
ARHGAP22						
FAM24A						
BHLHE22						
INSYN1						
CCDC169						
GABARAPL2						
NUBP1						
MPHOSPH10						
PSMD6						
GRAMD4						
SOD1						
COX7B2						
LCP2						
MRPS24						
POTEE						
ACE2						
HEMK1						
OGFR						
SNRPF						
CCDC9						
OGG1						
DCAF8L1						
INCENP						
KIFAP3						
SAP18						
BPIFA3						
ITGB6						
EFHD1						
NEXMIF						
RHCG						
VPS9D1						
GBP5						
ICAM4						
KRI1						
ZNF763						
PRKN						
OR6Y1						
SLC22A6						
PEMT						
BRPF1						
IQCF3						
SPATA22						
TBC1D29						
CACNA1A				PSSIBLE_ONCOGENE		
STRA8						
MAPK3		ONC				
RBMS1						
NR1H3						
A1BG						
SH2B1						
REEP6						
ANKRD13A						
AFG1L						
ZNF556						
KLHL8						
OR5P2						
SPINT1						
SLC49A3						
TMEM39A						
ATP1A2						
MPG						
COL26A1						
RPS6KA3						
DUOX2						
PDE8A						
BBOF1						
CRTC2						
PRAMEF5						
CFAP20						
AQP4						
ZNF236						
TAL2	ONC				ONC	
SEPT5	ONC					
PDX1						TSG
CELF6						
MYO6						
WDR91						
SGK3						
C7orf31						
CCDC17						
FAM222B						
RBM47						
GP1BB						
USP54						
SCG5		ONC				
STAT5A		ONC				TSG
TUBE1						
ALG12						
DMC1						
SLC7A11						
SLC37A4						
CTSV						
TNS2						
SHOC2		ONC				
ALS2CR12						
SNTB1						
PRF1	TSG					
TRIM16L						
EGR3						
TRNP1						
ZNF579						
ANKRD16						
NDST4						TSG
MDP1						
OGFOD2						
GPR113						
IQCA1						
EARS2						
HLA-DPA1						
OR1Q1						
SVIP						
SKA1						
GBE1						
RETNLB						
PCDH18						
OCRL						
MAG						
ZC3H6						
NDUFV2						
GAS2L3						
SP100						TSG
RHEBL1						
KPTN						
IFIT1						
SIGLEC6						
ARPC2						
CPQ						
VHL	TSG	TSG	TSG	TSG		TSG
RNPC3						
ZC2HC1C						
OR1L3						
C7orf66						
KLHL26						
CDKL1						
PDE9A						
STEAP3						
CDH16						
TMEM159						
GAS8						
EFCAB6						
DPPA2					ONC	
LYRM7						
NMNAT3						
TENT2						
PARK2		TSG				TSG
RNF34						
FAM149A						
DDX53						
CCNB1IP1	ONC/TSG					
ZNF93						
MAGEB3						
WDFY3						
C17orf107						
BCLAF3						
SLC12A4						
POU6F1						
BMP6						
ZSWIM2						
IFI27						
PISD						
ZDHHC14						
NR2C2AP						
SLC8A1						
STRA13						
LGR6						
CD177						
POTEH						
ZBTB7A					ONC	
DEAF1						
USP30						
OSBPL6						
PRDM1	TSG	TSG	TSG			TSG
RGS7						
EFCC1						
SPRR2F						
CSF1					ONC	
RSPH3						
SCRT1						
LMOD1						
RFX5						
TFAP4						
COPRS						
NDUFB4						
NDUFB6						
GAL3ST4						
LPAR4						
ACSL3	ONC					
NOLC1						
ARHGAP20						
VARS						
SSH3						
ZNF449						
TMTC1						
DSCR3						
NDFIP1						
HAO2						
NOP56						
TRMT44						
ITGB3						TSG
CDC25C					ONC	
MAP2K7						
CSNK1G3						
MUC21						
LOC286238						
PARP16						
KITLG						
CAMP						
DZIP1						
MAOB						
TIMP2						
TMEM203						
PAN3						
OR5B17						
ASB1						
TSEN34						
ERICH5						
ASB5						
LYRM4						
CNDP1						
TRIM2						
NCL						
PPP6R2						
SLC10A4						
CEP63						
ZNF573						
CALM1						
SRRM2						
TNKS						
MSH6	TSG	TSG	TSG			
TSC22D3						
LY6G5C						
GLTSCR1						TSG
ATP1B2						
FBXL2						
IL1RAP						
SOST						
CPLX1						
OR10J1						
OAZ3						
KRT25						
NOS1						
C19orf45						
SIMC1						
SRMS						
ASB16						
ACVRL1						
TSSK4						
MBLAC1						
UGCG						
NDUFAF6						
NSUN3						
CCDC107						
MOSPD2						
RARRES3						TSG
SASS6						
CCL16						
PGR		ONC		PSSIBLE_TSG		TSG
NSF						
GNB1L						
ADCY8						
ETV3L						
UNC13A						
ACADSB						
TBC1D10B						
C22orf23						
TTC1						
SLC35B2						
MBD1					ONC	
MAGEC1						
COPS5					ONC	
SULT2B1						
KCNE2						
TNFRSF17	ONC					
STKLD1						
HVCN1						
PRTN3						
INO80C						
TRAPPC10						
IL3RA						
BMP15						
KCNH1						
CDY1						
OR5H1						
DRG2						
MNT						TSG
