PROTEIN_ID	GENE_NAME	PUBMED_ID	dbSNP_ref
Q9NVM4;B3KPR0;B3KUG9;B4E379;Q96PV5;Q9H9L0	PRMT7		
Q9NR22;B2RDP0;Q8TBJ8	PRMT8		
Q86W74;Q6P9B7	ANKRD46		
Q8WVL7;Q8NDF2;Q96JE5;Q9NXK7	ANKRD49		
Q9ULJ7;A8K4V3;B4DHJ6;E9PDW0;Q6N064;Q6ZSE6	ANKRD50		
Q8NB46;A6NE79;B1Q2K2	ANKRD52		
Q8N9V6;Q8IYP8	ANKRD53		
Q6NXT1;Q6ZSB1;Q9UGV1	ANKRD54		
P13928;A6NDE6;A6NLM1;B4DKI1;B4DTC9;Q5T2P8;Q5VTM4;Q6GMY3;Q9BT34	ANXA8		
O76027;Q5SZF1;Q6FI55;Q9BS00;Q9HBJ6	ANXA9		
Q06278;O14765;Q53RR8;Q53TV3;Q9BYF0;Q9UPG6	AOX1		
Q9NUS5;B3KSD0;D3DVY7	AP5S1		
O43299;Q8N3X2;Q96H80	AP5Z1		
O14727;B2RMX8;O43297;Q7Z438;Q9BXZ6;Q9UBZ5;Q9UGN8;Q9UGN9;Q9UGP0;Q9UJ58;Q9UJ59;Q9UJ60;Q9UJ61;Q9UJ62;Q9UJ63;Q9UJ64;Q9UJ65;Q9UJ66;Q9UJ67;Q9UNC9	APAF1		
Q9UJX5;A8K8H1;E9PCR4;Q6PCC6;Q9NSH6	ANAPC4		
Q9UJX4;E9PFB2;Q8N4H7;Q9BQD4	ANAPC5		
P35414	APLNR		
P02654;B2R526;Q6IB97	APOC1		
P02649;B2RC15;C0JYY5;Q9P2S4	APOE		
Q8IXF9	AQP12A		
A6NM10;A4QPB9	AQP12B		
Q9Y2Y0;B3KQJ5;Q504R0	ARL2BP		
Q15041;B7Z6S5;B7Z791;F5GXP4	ARL6IP1		
Q66PJ3;A4UCR8;B3V0L0;B3V0L1;Q4F966;Q504R8;Q96BI2;Q9NR05;Q9P2R9	ARL6IP4		
P53367;B4DS69;Q2M2X4;Q3SYL4;Q9Y2X6	ARFIP1		
P53365;B4DX86;B4E306;D3DQT5	ARFIP2		
Q13795;A0A087WY13;B7ZKX7;E1P5J9;Q6IBQ0;V9GYH4	ARFRP1		
Q68CP9;Q15KG9;Q5EB51;Q645I3;Q6ZRY5;Q7Z3I5;Q86T28;Q96SJ6;Q9HCL5	ARID2		
Q9Y4B4;Q8TB57;Q9BV54	RAD54L2		
Q9H0F7;A8KA93;D3DN31	ARL6		
Q96BM9;B3KXD0	ARL8A		
Q9NVJ2;B4DI85	ARL8B		
Q9GZN1;B3KW37;B4DLG9;Q53GH2;Q9BY39;Q9H8H6	ACTR6		
Q8WXI3;A0AVH0;Q6ZUL6	ASB10		
Q8WXH4;E9PEN1;Q3SYC4;Q7Z667	ASB11		
Q8WXK4;J3KP57;Q2M3D5;Q52LK4;Q6ISF9;Q8N8F5	ASB12		
Q8WXK3;A8K7Q6;D3DRR2;Q96EP7;Q9H8Z1	ASB13		
A6NK59;C9JX97;Q8WXK2;Q92816	ASB14		
Q8WXK1;Q3ZCP3;Q3ZCP5;Q68D37	ASB15		
Q96NS5;B2RBC0;Q8WXK0	ASB16		
Q7L266;B2R7Q0;Q567Q4;Q6P1P0;Q8NI34;Q9H6F7	ASRGL1		
P07306;I3L1X1	ASGR1		
P07307;A6NLV8;A8MT12;D3DTM9;D3DTN0;O00448;Q03969	ASGR2		
Q92484;B7Z729;Q8WV13	SMPDL3A		
Q92485;B7ZB35;Q5T0Z0;Q96CB7	SMPDL3B		
Q9BZE9;A8K3K9;Q7Z6N7;Q8WV59;Q96LS5;Q96M40	ASPSCR1		
A6ND91;Q6NZ37	ASPDH		
P05023;B2RBR6;B7Z2T5;B7Z3U6;F5H3A1;Q16689;Q6LDM4;Q9UCN1;Q9UJ20;Q9UJ21	ATP1A1		
P50993;D3DVE4;Q07059;Q5JW74;Q86UZ5;Q9UQ25	ATP1A2		
Q7Z4Y8	ATP5MGL		
Q9ULK2;A4D0Q2;B4DTS1;Q8N2T0	ATXN7L1		
Q5T6C5	ATXN7L2		
Q14CW9;Q8IY68;Q96N40;Q9NPU5	ATXN7L3		
Q9Y2Q0;Q32M35;Q32M36;Q4W5J7;Q4W5P2	ATP8A1		
Q9NTI2;Q6ZSP3;Q9H527;Q9NPU6;Q9NTL2;Q9NYM3	ATP8A2		
O43520;Q9BTP8	ATP8B1		
O75143;B4DFI4;D3DQQ1;D3DQQ2;E9PQZ8;Q53EN6;Q9BRL3;Q9H8B0	ATG13		
Q7Z3C6;Q3ZAQ6;Q6P0N7;Q7Z317;Q7Z320;Q8NDK6;Q8WU65;Q9BVL5;Q9H6L1;Q9HAG7	ATG9A		
O43313;A8K4H8;Q68DC9	ATMIN		
P51164;B1B0N8	ATP4B		
P56381;B2RDD0;E1P5H6;Q53XU6	ATP5F1E		
P30049;D6W5Y3;Q6FG90	ATP5F1D		
Q9H324;M0QZE4	ADAMTS10		
P58397;A2RRN9;A5D6V6;Q6UWL3	ADAMTS12		
Q76LX8;Q6UY16;Q710F6;Q711T8;Q96L37;Q9H0G3;Q9UGQ1	ADAMTS13		
Q8WXS8;Q5T4G0;Q5T4G1;Q8TE55;Q8TEY8	ADAMTS14		
Q8TE58;Q32MI6	ADAMTS15		
Q8TE57;C6G490;Q8IVE2	ADAMTS16		
Q8TE56;Q2I7G4;Q6ZN75	ADAMTS17		
Q8TE60;Q6P4R5;Q6ZWJ9	ADAMTS18		
Q8TE59	ADAMTS19		
Q9UHI8;D3DSD5;Q9NSJ8;Q9P2K0;Q9UH83;Q9UP80	ADAMTS1		
Q58HT5;Q5JT21;Q6IEE4	AWAT1		
Q6E213;Q6IEE3;Q6P437	AWAT2		
Q92843;A8K0F4;Q2M3U0;Q5U0H4	BCL2L2		
Q8NHY0;B4DZE4;Q14CP1;Q86Y40	B4GALNT2		
Q6L9W6;Q6ZNC1;Q8N7T6	B4GALNT3		
Q76KP1;Q96LV2	B4GALNT4		
P15291;B2R710;D3DRL2;Q12909;Q12910;Q12911;Q14456;Q14509;Q14523	B4GALT1		
O60909;B3KTP0;B4DE14;D3DPY6;D3DPY7;O60511;Q4V9L9;Q5T4X5;Q5T4Y5;Q9BUP6;Q9NSY7	B4GALT2		
O60512;D3DVG3;O60910;Q9BPZ4;Q9H8T2	B4GALT3		
Q92934;O14803;Q6FH21	BAD		
Q8NDB2;A8K7W8;B0F3S2;Q8N5K8;Q8NB56;Q8WYN5;Q9NWP2	BANK1		
Q8N9N5;A8MU25;A8MX25;B2RCF7;B4DNJ9;F5GZM0;Q96GJ7;Q9NWY1	BANP		
Q9BUW7;Q5SYV8;Q9Y3F7	BBLN		
Q8ND07;Q0P604;Q9H5P8	BBOF1		
O75815;D3DT43;Q5TEW3;Q6UW40;Q9BR50	BCAR3		
O75363;A0AVG5;Q68CZ3	BCAS1		
Q9H6U6;Q17RM0;Q6KF21;Q8IXI6;Q8NDR8;Q8TDL9;Q8TDM1;Q8WY55;Q9BVF0;Q9H957;Q9H9Y9;Q9NXP4	BCAS3		
Q8TDM0;Q5TD52;Q5TD53;Q5TD54;Q5U5K7;Q5XKE8;Q8IXI7;Q8NEZ6;Q8TDL9;Q9NX13;Q9Y511	BCAS4		
P54687;B3KY27;B7Z2M5;B7Z5L0;F5H5E4;Q68DQ7;Q96MY9	BCAT1		
Q86UU0;A1A4C1;Q67FY1;Q6ZWJ0;Q6ZWK2	BCL9L		
O00512;Q5T489	BCL9		
A2AJT9;A1A4E8;Q5VSM7;Q5VSN1;Q6ZS60;Q8N1W7	BCLAF3		
Q9NYF8;A2RU75;B7ZM58;E1P586;Q14673;Q86WU6;Q86WY0	BCLAF1		
Q9HBH7;A0AVN1;A8K4J3;Q9NZ33	BEX1		
Q9BXY8;B2R574;D3DXA2;F5H7H5;Q5JVV9	BEX2		
Q00994;B2RD17;D3DXA3;Q5JQT4;Q5JQT5	BEX3		
P16278;B2R7H8;B7Z6B0;P16279	GLB1		
Q13323;Q16582;Q6FH93	BIK		
P62952;A2A2K7;O60629;Q9D3B5	BLCAP		
P51451;Q16291;Q96IN1	BLK		
Q13867;B2R796;Q53F86;Q9UER9	BLMH		
A8MY62	LACTBL1		
Q14692;Q5QPT5;Q86XJ9	BMS1		
Q9NPI1;Q4VC09;Q8N2L9;Q96KA4;Q9BV48;Q9UH59	BRD7		
Q9H0E9;O43178;Q15355;Q58AB0;Q59GN0;Q969M9	BRD8		
Q9H8M2;A6NFY8;B4DMQ2;B4DR93;Q2XUS1;Q6UWU9;Q8IUS4;Q9H5Q5;Q9H7R9	BRD9		
A0A1B0GUI7	BRD3OS		
Q58F21;A6NF68;B7Z811;B7Z890;B7ZAX7;D3DT32;O14789;Q05DQ4;Q6P5T1;Q7Z4A6;Q8IWI6	BRDT		
Q3C1V8	BSX		
P00736;A6NJQ8;Q68D77;Q8J012	C1R		
P09871;D3DUT4;Q9UCU7;Q9UCU8;Q9UCU9;Q9UCV0;Q9UCV1;Q9UCV2;Q9UCV3;Q9UCV4;Q9UCV5;Q9UM14	C1S		
P0C862;A2A3T6;Q0VGC5;Q5VX65;Q5VX66;Q8IUU4	C1QTNF9		
B2RNN3;A2A3T6;B9EH31;Q0VGC5;Q5VX65;Q5VX66;Q8IUU4	C1QTNF9B		
P11586;A0A024R652;A0A384N5Y3;B2R5Y2;G3V2B8;Q86VC9;Q9BVP5	MTHFD1		
Q9H0H9	CYP4F30P		
Q8N8Q1;B4DH97;E9PCM8;Q52M36;Q5T6C2;Q5T6C3	CYB561D1		
O14569;A8K552	CYB561D2		
Q8TCZ2;A8K2D5;A8K5R0;B3KWG2;B4DDL7;E7EMK5;E9PD27;Q8TAW2;Q8TCZ0;Q8TCZ1;Q9BQG9	CD99L2		
Q9H246;B2R551	C1orf21		
Q9BWL3;A8K3G8;D3DV72;D3DV74;Q5M801;Q5VU73;Q5VU83;Q96HP7;Q9UFU2;Q9UGL7;Q9UGL8;Q9Y2R6	C1orf43		
Q86V35	CABP7		
Q9BXU9;J3KQA7	CALN1		
Q96KC9;B2RCB5;Q86UE0;Q96M17	CABS1		
O75952;B2R857;Q8WXW5;Q9HAY3;Q9HAY4;Q9HAY5;Q9HCY9	CABYR		
P12830;A8K1U7;Q13799;Q14216;Q15855;Q16194;Q4PJ14;Q9UII8	CDH1		
P19022;A8MWK3;B0YIY6;Q14923;Q8N173	CDH2		
Q05682;A8K0X1;Q13978;Q13979;Q14741;Q14742;Q9UD91	CALD1		
P27797;Q6IAT4;Q9UDG2	CALR		
P63098;B2RC10;B5MDU4;P06705;P15117;Q08044;Q53SL0	PPP3R1		
Q96LZ3;Q5VTR4;Q7Z4V8;Q8WYJ4	PPP3R2		
P47756;Q32Q68;Q5U0L4;Q8TB49;Q9NUC4	CAPZB		
Q9BX69;Q52LR2	CARD6		
Q9Y2G2;B5KVR6;B5KVR8;B7Z496;B7Z4A2;E5RFV9;E9PEM7;G3XAM9;Q6PGP8;Q96P82	CARD8		
O14958;B2R7M6;B4DIB0;Q5T1D2;Q8TBW8	CASQ2		
P41180;Q13912;Q16108;Q16109;Q16110;Q16379;Q2M1T0;Q4PJ19	CASR		
Q9NQ75;E1P5Z8;Q5QPD6;Q96K09;Q9BYL5	CASS4		
Q8WTX7;O76052;Q96ND9;Q9UIE8	CASTOR1		
P25774;B4DWC9;D3DV05;Q5T5I0;Q6FHS5;Q9BUG3	CTSS		
P56539;A8K777;Q3T1A4	CAV3		
Q6NZI2;B2RAW7;O00535;Q6GMY1;Q96H74;Q9BT85;Q9HAP4	CAVIN1		
O95810	CAVIN2		
P08185;A8K456;Q7Z2Q9	SERPINA6		
Q5VU57;B3KT26;B4DG37	AGBL4		
O75976;B7Z7T9;B7ZAU4;F5GZH6;O15377;Q86SH9;Q86XE6	CPD		
P16870;A8K4N1;B3KR42;B4DFN4;D3DP33;Q9UIU9	CPE		
Q9H0I3;B2RAQ7;B4DR20;Q9NZX2	CCDC113		
Q96NT0;B4DJ47;Q9BR88	CCDC115		
Q8IYX3;B7Z7H5;Q8N9Y9	CCDC116		
Q8IWD4;A8K0F1;B7Z2V1;B7Z860;Q6ICA7;Q8N278	CCDC117		
Q96HB5;A8K5Q5;B4DF24;B4DFC1;B4DTU2;F5GZU4	CCDC120		
Q6ZUS5;B3KW66;J3KQZ8;Q9H8G6	CCDC121		
Q5T0U0;B2RP70;B7ZMI9;Q96MV0	CCDC122		
Q9UFE4;B4E2H1	CCDC39		
Q4G0X9;A8MTD2;C9JTI9;C9JTJ0;C9JXW1;J3QSY2;Q6PE47;Q9HCD2;Q9NWL5	CCDC40		
Q96M95;Q8N6Q0	CCDC42		
Q8N998	CCDC89		
Q7Z6B0;B3KSA3;C9JR07;Q68D43;Q6IA78;Q8NEN7;Q9NUW9	CCDC91		
Q53HC0;B3KNQ0;Q9H697	CCDC92		
Q567U6;A8K3V7;Q4LE78;Q53TJ2;Q8TBX5;Q9H6R5;Q9NV15	CCDC93		
P06307	CCK		
O95067;B3KM93;Q6FI99	CCNB2		
P46092;Q4V749;Q6T7X2;Q9NZG2	CCR10		
P32246;Q86VA9	CCR1		
P41597;A0AVQ3;B2RMT0;O95950;Q4VBL2	CCR2		
O75794;A8JZZ7;Q14107;Q5T0L4;Q5T0L5;Q5T0L7;Q5T0L8;Q5T0L9	CDC123		
P06729;Q96TE5	CD2		
Q8IX05;A8K5G4;B4E2T9;Q15009	CD302		
Q9NPF0;B2RDS5;D6W668;F5H6D3;Q53HF7	CD320		
P31358;Q5T138;Q9BW46	CD52		
P19397;B2R905;Q5U0D6	CD53		
Q13042;A2A365;Q5T8C8;Q7Z651;Q96AE6;Q9Y564	CDC16		
Q12834;B2R6Z6;D3DPJ1;Q5JUY4;Q9BW56;Q9UQI9	CDC20		
O14519;F5GYA4	CDK2AP1		
O75956	CDK2AP2		
Q5VV42;A8K6S0;Q6P385;Q6ZR27;Q9NXB3	CDKAL1		
Q9H211;Q86XX9;Q96CJ5;Q96GK5;Q96H67;Q96HE6;Q9BWM0	CDT1		
Q8IYX8;G5E992	CEP57L1		
Q5SZL2;A1A4E1;A2A3P2;A2IDE5;F8W6J2;G3V0H3;Q2TAM2;Q5T323;Q7Z5K7;Q9H289	CEP85L		
Q2WEN9;A7LI12	CEACAM16		
Q92879;B4E2U5;D3DQS0;F8W940;Q4LE52;Q9NP83;Q9NR06	CELF1		
O95319;B7ZAN9;Q7KYU4;Q8N499;Q92950;Q96NW9;Q96RQ5;Q96RQ6;Q9UL67	CELF2		
Q7Z7K6;B2RPK2;Q3L8N5;Q8NFH6	CENPV		
Q5EE01;A6NIR0;A6NJC2	CENPW		
A8MT69;O00281;O00282;Q96DD4;Q96F51	CENPX		
P0CG36;B2RCY0;B9EJD3;Q53T05;Q9GZR3	CFC1B		
Q16880;B3KXU7;O00196	UGT8		
Q96KT6	LINC00208		
