PROTEIN_ID	GENE_NAME	PUBMED_ID	dbSNP_ref
P10620;A8K533;G5EA53	MGST1		
Q99735;D6RBB5;Q7Z5B8	MGST2		
Q9H1L0;Q2TB30	MIR1-1HG		
Q16674;Q6FHV3	MIA		
Q86YT6;B0YJ38;Q2TB37;Q68D01;Q6YI51;Q8NBY0;Q8TCB5;Q8TCL7;Q9P2M3	MIB1		
Q8IY33;D3YTD2;Q7RTP4;Q7Z655;Q8TEQ4;Q9H5F9	MICALL2		
Q7Z6M3;A1L458;B4DUS1;B7ZM50;B9EGN0;D6RUW6;D6RUW8	MILR1		
Q8IXI1;A2IDC2;Q8NF53;Q96C13;Q96S17;Q9BT60;Q9H7M8	RHOT2		
Q9H081;Q96N24	MIS12		
Q13434	MKRN4P		
Q6NVV0	MKRN9P		
H3BPM6	MKRN2OS		
Q9NXB0;B7WNX4;F5H885;Q284T0;Q96G13	MKS1		
Q5HYA8;B3KRU5;B3KT47;G5E9H2;Q3ZCX3;Q7Z5T8;Q8IZ06	TMEM67		
P10916;Q16123	MYL2		
P39900;B2R9X8;B7ZLF6;Q2M1L9	MMP12		
P45452;A8K846;B2RCZ3;Q6NWN6	MMP13		
P50281;A8K5L0;Q6GSF3;Q92678	MMP14		
P51511;A0A2U6;Q14111	MMP15		
Q96EN8;Q53GP5;Q8N3A4;Q9NWM7	MOCOS		
Q9NZB8;B3KPT7;B4DTP1;O14940;O14941;O75710;Q5J7W0;Q5TCE1;Q5TCE2;Q5TCE6;Q5TCE9;Q5TCF0;Q5TCF1;Q8N418;Q9NZB7;Q9UEM1	MOCS1		
Q9UQ07;B2R6Z4;B7Z7P6;E7ER76;E7ERR8;Q92790;Q93067	MOK		
P12872;B7ZLR7;E9PDN2;J3KN51;Q2M1L2;Q5T975;Q6NSY7	MLN		
A0A0C5B5G6	MT-RNR1		
Q9HCE1;Q5JR03;Q8TEF0;Q9BSY3;Q9BUJ9	MOV10		
P30307;D3DQB8;Q96PL3;Q9H168;Q9H2E8;Q9H2E9;Q9H2F1	CDC25C		
Q86SM5	MRGPRG		
Q96LB2;Q4V9L2;Q8TDD8;Q8TDD9	MRGPRX1		
Q96LB1;B5B0C7;Q4QXW4;Q4QXW7;Q4QXX0;Q4QXX2;Q4QXX3;Q4QXX4;Q4QXX6;Q4QXX7;W8W3L5	MRGPRX2		
Q96LB0;B0M0L1;Q8TDE0;Q8TDE1	MRGPRX3		
O15091;B4DXD9;B4E0S8;B4E211;C4AM93;D3DS99;D3DSA1;Q86SZ4;Q86YB5;Q8N5L5	PRORP		
Q9GZW8;A6NP53;Q6IAG8	MS4A7		
Q96KJ4	MSLNL		
Q13421;D3DU65;Q14859;Q4VQD5;Q96GR6;Q96KJ5;Q9BR17;Q9BTR2;Q9UCB2;Q9UK57	MSLN		
P08118;B1API6;P11999;Q13125;Q6IAY9;Q9UC59	MSMB		
Q9UJ68;E9PAS8;Q52TC4;Q549N4;Q66MI7	MSRA		
P04731;Q86YX5	MT1A		
Q9Y6C9;B2R7L8	MTCH2		
Q9Y4B5;E9PAY7;Q6ZMQ9;Q8IWA9	MTCL1		
P56278;Q5HYP2	MTCP1		
Q06455;B7Z4P4;E7EPN4;O14784;Q06456;Q14873;Q16239;Q16346;Q16347;Q6IBL1;Q6NXH1;Q7Z4J5;Q92479;Q9BRZ0	RUNX1T1		
Q9BV57;D6W4Y3;Q53HW3;Q53QD3;Q57YV7;Q68CK2;Q6ZSF7;Q7Z512;Q96P85;Q9NV57	ADI1		
O75431;A8JZZ4;Q53S50;Q53SQ2;Q5M7Z6;Q8IZ68	MTX2		
Q5HYI7;B4DL65;E9PB57;Q7Z380;Q8NB92	MTX3		
P15941;A5YRV1;A6ZID9;A6ZIE0;B1AVQ8;B1AVR0;B6ECA1;E7ESE5;E7EUG9;P13931;P15942;P17626;Q0VAP5;Q0VAP6;Q14128;Q14876;Q16437;Q16442;Q16615;Q6S4Y3;Q7Z547;Q7Z548;Q7Z550;Q7Z552;Q9BXA4;Q9UE75;Q9UE76;Q9UQL1;Q9Y4J2	MUC1		
Q8N307;Q6UX97;Q76I83;Q76I85;Q86ST8;Q8NBY6;Q96KA1;Q9P2I8	MUC20		
Q5SSG8;B0UZT7;B4DQ55;C9JMK2;D9N007;Q0VGF1;Q3B7T2;Q5SS94;Q6UXC5	MUC21		
E2RYF6;H3BQR8	MUC22		
Q04900;B4DQ85;E1P5E7;E1P5E8;E1P5E9;O95413;Q5JSU6;Q9BPV0;Q9NR26	CD164		
Q02817;Q14878	MUC2		
P12525;O43372	MYCLP1		
Q7Z401;E7EPL3;Q14655;Q86T77;Q8IVX2;Q8NB93	DENND4A		
Q8N699;Q8N396;Q8TBE8;Q9H763	MYCT1		
Q96QE2;Q17S07	SLC2A13		
P02144;Q52H51;Q5THY7	MB		
Q96A32;A0A024QZG6;B2RA83;Q14843;Q6IB41	MYL11		
P05976;B2R4N6;B2R4T6;P06741;Q6IBD5	MYL1		
P08590;B2R534;Q9NRS8	MYL3		
P12829;D3DXJ7;P11783	MYL4		
Q9ULV0;B0I1R3;Q0P656;Q9H6Y6	MYO5B		
Q9NQX4;Q6P1W8	MYO5C		
Q9UM54;A6H8V4;E1P540;Q5TEM5;Q5TEM6;Q5TEM7;Q9BZZ7;Q9UEG2	MYO6		
Q9Y2G1;O43582;Q9P1Q6	MYRF		
Q8NFW9;B3KWM3;B3KWW4;B7Z2H1;B7Z9V3;G3XAI8;Q32M41;Q32M42;Q569F7;Q8IUF5;Q9Y3V4	MYRIP		
Q9H7X0;B3KRQ0;B4DLZ0;B4DPZ8;B4DYC4;D3DUC2;E7EQ65;Q6IA31;Q6UX26	NAA60		
Q93015;Q93014	NAA80		
Q02083;Q5KTF2;Q96EY2;Q9BRA8	NAAA		
Q96BF6	NACC2		
Q53FP2;Q9H7Y3	TMEM35A		
Q9BZK3	NACA4P		
Q9Y303;B4DL77;Q8WV54	AMDHD2		
Q8N7R0	NANOGP1		
Q7Z5D8	NANOGNB		
Q7L1T6;B1AEM2;Q5TGI9;Q9NUE4;Q9UHI9	CYB5R4		
Q6IPT4;B7ZBS4;Q8NF25	CYB5RL		
A2RRP1;O95790;Q2VPJ7;Q53TK6;Q86V39;Q8NFY8;Q9Y3W5	NBAS		
A0A0U1RRE5	NBDY		
Q969V3;D6W613;O75252;Q6FI60;Q6ZMB7;Q8TAT7;Q96H48;Q96IS7;Q9BQH9;Q9BTX4;Q9NPP2	NCLN		
Q6J4K2;A6NP50;Q4KMS9;Q6J4K1;Q9H6I8	SLC8B1		
Q5T1S8;A0PK04;B2RV34	NCMAP		
Q15788;O00150;O43792;O43793;Q13071;Q13420;Q2T9G5;Q53SX3;Q6GVI5;Q7KYV3	NCOA1		
Q15596;Q14CD2	NCOA2		
Q9UHB4;D3YTG6;D3YTH9;Q5VSG4;Q86US9;Q96BC6	NDOR1		
Q9P0J0;B4DF76;K7EK58;Q6PKI0;Q9H2L3;Q9Y327	NDUFA13		
O75438;A0AV68	NDUFB1		
O75489;B2R9J1;B4DFM8;Q9UNQ8	NDUFS3		
Q7Z6G3;A2RRG3;H3BTW2;O75547;Q6ZSK0	NECAB2		
Q96P71;A8K780;E1P5N2;Q5JWF5;Q5JWF6;Q5JWF7;Q86VV1;Q9H433;Q9H8G8;Q9HBW7;Q9HCQ9	NECAB3		
Q99608;B2R6Z5	NDN		
Q8NC96;Q2NL73;Q5XG95;Q6NWY6;Q8N153;Q8NCB0;Q9BU52;Q9Y407	NECAP1		
P18615;A2BE08;B4DUN1;B4DYX9;Q5JP74;Q5JP75;Q96F56;Q9NPK2	NELFE		
Q92832;B2CKC1;Q4VB90;Q4VB91;Q6NSY8;Q9Y472	NELL1		
Q99435;B7Z2U7;B7Z5Q4;B7Z9J5;B7Z9U3;Q96JS2	NELL2		
Q8NFW8;Q96AX5;Q9NQZ0	CMAS		
Q5QGS0;A7YY87;Q5JUX9;Q8IVE9	NEXMIF		
Q12857;B4DRJ3;B4DS53;F5H0R0;F8W8W3;Q8TA97;Q9H3X9;Q9P2A9	NFIA		
O00712;G3V1P1;H7BYE8;O00166;Q12858;Q5VW29;Q63HM5;Q6ZNF9;Q96J45	NFIB		
P08651;A8K1H0;B7Z4U5;B7Z9C3;K7EMU1;P08652;Q14932;Q9UPJ3;Q9UPJ9;Q9UPK0;Q9UPK1	NFIC		
Q16649;B2R9Y8;Q14211;Q6FGQ8;Q96HS0	NFIL3		
Q12986;A8K6H8;Q5VXW6;Q96EL5;Q9BXI1	NFX1		
Q6ZNB6;B1Q2K1;Q86VG1;Q8WVH1	NFXL1		
Q6VVB1;Q3SYB1;Q5VUK7;Q6IMH1	NHLRC1		
Q8NBF2;Q8N1H1;Q8N5A6	NHLRC2		
Q5JS37;B2RTZ2;B4DTL0;Q69YI9	NHLRC3		
P0CG21;B8ZZ27;Q8N233;Q96AX3;Q96S23	NHLRC4		
Q9BSH3;Q8IZQ2	NICN1		
P14543;Q14942;Q59FL2;Q5TAF2;Q5TAF3;Q86XD7	NID1		
Q14112;A8K6I7;B4DU19;O43710	NID2		
Q9GZT8;Q53TX4;Q6X735;Q9H2D2;Q9HC18	NIF3L1		
Q9HAS0;Q7Z2H4	C17orf75		
P25103;A8K150	TACR1		
P21452;A8K7I1;Q4QRI5;Q8NGQ8;Q9UDE6;Q9UDE7	TACR2		
Q9HBL8	NMRAL1		
Q5H8A3	NMS		
P40261	NNMT		
Q13423;Q16796;Q2TB60;Q8N3V4	NNT		
Q15233;B7Z4C2;D3DVV4;F5GYZ3;O00201;P30807;Q12786;Q9BQC5	NONO		
Q8N5I9	NOPCHAP1		
Q8IXF0;Q86US6;Q86US7;Q8IXF2;Q9BY81;Q9H323;Q9Y4L8	NPAS3		
Q8IUM7;B7ZL81;Q8N8S5;Q8N9Q9	NPAS4		
Q14207;A8K1V5;A8K6M2;Q13632;Q14967;Q16580;Q86W55;Q8IWE9	NPAT		
E5RHQ5	NPIPB11		
F8W0I5	NPIPB12		
A6NJU9	NPIPB13		
A6NHN6;C9J9U8	NPIPB15		
P48145;Q6NTC7	NPBWR1		
P48146;Q6NWQ6;Q9H4K3	NPBWR2		
Q6W5P4;A2RTZ4;Q2XP58;Q56H76;Q56H77;Q56H78;Q6JSL4;Q6JSL5;Q6JSL6;Q6JSL7;Q6JSL8;Q6W5P3;Q6ZMB8	NPSR1		
P0C0P6	NPS		
Q14916;A8K418;O60761;Q13783;Q3MIP5;Q5MJP8;Q5TB83;Q96KL8	SLC17A1		
P51843;Q96F69	NR0B1		
Q15466;F1D8P5;Q5QP36	NR0B2		
P20393;Q0P5Z4;Q15304	NR1D1		
Q02297;A5YAK4;A5YAK5;A8K1L2;B7Z4Z3;E9PHH4;O14667;P98202;Q02298;Q02299;Q07110;Q07111;Q12779;Q12780;Q12781;Q12782;Q12783;Q12784;Q15491;Q7RTV9;Q7RTW0;Q7RTW1;Q7RTW2;Q8NFN1;Q8NFN2;Q8NFN3;Q9UPE3	NRG1		
O14511	NRG2		
P56975;A4D7U1;Q0PEH2;Q5VYH3	NRG3		
Q8WWG1;A6NIE8	NRG4		
P58400;E7ETA5	NRXN1		
Q9P2S2;A7E2C1;Q9Y2D6	NRXN2		
P58401	NRXN2		
Q9Y4C0;A6NGR4;A7MD34;O95378;Q8IUE3;Q9NS47;Q9P1V3;Q9P1V6;Q9UIE2;Q9UIE3;Q9ULA5;Q9Y486	NRXN3		
Q9HDB5;A5PKW8;A8MPU5;B3KPM7;Q6NUR0;Q8IUD8	NRXN3		
Q9H0G5;Q6FI71	NSRP1		
Q12908;A1L4F4;Q13839	SLC10A2		
Q96EP9;Q8WUZ2	SLC10A4		
Q5PT55;B2RN26	SLC10A5		
Q0GE19;A7E2E6;A7MAX9;Q0VAP9;Q45NG1;Q45NG2;Q5H9S6;Q6P4E6;Q8IZ62;Q8NBP8;Q9H0M9	SLC10A7		
Q9BSD7	NTPCR		
Q9P121;A0MTT2;Q6UXJ3;Q86VJ9	NTM		
P04629;B2R6T5;B7ZM34;P08119;Q15655;Q15656;Q5D056;Q5VZS2;Q7Z5C3;Q9UIU7	NTRK1		
Q16620;B1ANZ4;B4DFV9;Q16675;Q59GJ1;Q8WXJ5;Q8WXJ6;Q8WXJ7	NTRK2		
Q16288;B7Z4C5;E9PG56;H0YND1;O75682;Q12827;Q16289	NTRK3		
P03915;Q34773;Q8WCY3	MT-ND5		
P80303;A8K642;D3DQX5;Q8NFT5;V9HW75	NUCB2		
Q14249;Q5T281;Q9BSP2	ENDOG		
Q9H1E3;Q54AC0;Q5PXE7;Q9H1D6;Q9H723	NUCKS1		
Q9Y266;Q5QP31;Q5QP35;Q9H0N2;Q9Y2B6	NUDC		
P53370;A8K756;O95097;Q9UQD9	NUDT6		
P0C024;B4DLE5;H3BUB8	NUDT7		
Q8WV74;Q6ZW59	NUDT8		
Q9BW91;Q8NBN1;Q8NCB9;Q8NG25	NUDT9		
A6NF83	NUPR2		
O60404;Q2HIZ3;Q6IFQ0	OR10H3		
Q8NGA5;Q6IFJ2;Q96R57	OR10H4		
Q8NGA6;Q6IFJ0;Q96R60	OR10H5		
P30954;Q2M1M8;Q5VSV1;Q6IET5;Q96R56	OR10J1		
Q5JRS4	OR10J3		
P0C629	OR10J4		
Q8NHC4;B9EH35;Q6IFH2	OR10J5		
Q8NGY7;Q96R55	OR10J6P		
Q8NGX5;Q6IFS2	OR10K1		
Q6IF99	OR10K2		
Q8NGE3;B9EGY4	OR10P1		
Q8NGQ4;B9EIL7;Q6IFG4	OR10Q1		
Q8NGX6;Q5VWM8;Q6IFS1;Q96R61	OR10R2		
Q8NGN2;B9EH43;Q6IEV3;Q96R78	OR10S1		
Q8NGX3;Q6IF98	OR10T2		
Q8NGI7;Q6IFD9;Q96R50	OR10V1		
Q8NGF6;A2RUD2;A8MTE1;Q6UXQ2	OR10W1		
Q8NGY0;Q6IFR8	OR10X1		
Q8NGY1;Q5VYL0;Q6IFR7	OR10Z1		
Q96R47;A4D2G5;Q6IF41;Q8NGT8	OR2A14		
A4D2G3;B2RNC9	OR2A25		
Q8NHA4;B2RPD2	OR2AE1		
Q9H205;B9EKV7;Q6IFG7;Q96R26	OR2AG1		
A6NM03;B9EIM0	OR2AG2		
Q8NGZ0	OR2AJ1		
Q8NG84;B2RND1;Q6IF05	OR2AK2		
Q8NGE2	OR2AP1		
A6NND4;B9EGZ8	OR2AT4		
Q8NGZ9;B2RNK7	OR2T10		
Q8NH01;B9EIN4;Q6IEY6	OR2T11		
Q8NG77	OR2T12		
Q8NH04	OR2T27		
Q8NH02	OR2T29		
Q8NG76;B2RNN0	OR2T33		
Q8NGX1;B2RNJ8;Q6IEY5;Q96R31	OR2T34		
Q8NGX2;Q6IEY7	OR2T35		
Q86UD1	OAF		
Q16633;B2R8Z9;Q14983	POU2AF1		
Q9ULJ1;A8MU56;B4E037;Q05C40;Q5BJG5;Q5TBX3;Q5TBX4;Q86X31	ODF2L		
Q96PU9;B7ZLT0;Q69YX0	ODF3		
A8MYP8;A0PK18	ODF3B		
Q8IZS5;Q7Z2X5;Q8IUL6;Q8IUM1;Q8IZR9;Q8IZS1;Q8IZS3	OFCC1		
O75665;B9ZVU5;O75666;Q4VAK4	OFD1		
Q9NTK5;D7EHM2;Q5BJD7;Q8NCI8;Q96CU1;Q96SV2;Q9P1D3;Q9UNY9;Q9Y6G4	OLA1		
Q9H6K4;Q6P384;Q8N784	OPA3		
Q6U736;A0AV33;Q5T5B9;Q5T886;Q7Z603;Q86SL5	OPN5		
Q96CV9;B3KP00;D3DRS4;D3DRS8;Q5T672;Q5T673;Q5T674;Q5T675;Q7LDL9;Q8N562;Q9UET9;Q9UEV4;Q9Y218	OPTN		
Q96R08;B2RNL2;Q6IEV5	OR5B12		
Q8NGF7;Q6IEX1	OR5B17		
A6NL26	OR5B21		
Q8NGR4;B2RN54;B9EGT0;Q96RC4	OR5C1		
Q8NGL4;Q6IF68;Q6IFC9	OR5D13		
Q8NGL3;Q6IF69;Q6IFD4;Q96RB5	OR5D14		
Q8NGK9;Q6IF65;Q96RB4	OR5D16		
Q8NGL1;Q6IF67;Q6IFD3;Q96RB3	OR5D18		
O95221;Q495D1;Q6IFB9	OR5F1		
P0C626	OR5G3		
A6NKK0	OR5H1		
Q8NGV7;Q6IF87	OR5H2		
Q8NGV6;Q6IF88	OR5H6		
P0DN80	OR5H8		
Q13606;Q6IEU4	OR5I1		
Q8NH18;Q6IEU5	OR5J2		
Q8NHB7;B9EGY5;Q6IF46	OR5K1		
Q8NHB8;B2RN70;Q6IF47	OR5K2		
A6NET4	OR5K3		
A6NMS3	OR5K4		
Q9BRQ5;Q96BI8	ORAI3		
Q8N2R0;A8K626;B4E3B7;Q96AM6;Q96LB6;Q96LB7	OSR2		
P00480;A8K9P2;D3DWB0;Q3KNR1;Q6B0I1;Q9NYJ5	OTC		
O00110	OVOL3		
Q6IE37	OVOS1		
Q6IE36	OVOS2		
O43613;A8K3A6;Q9HBV6	HCRTR1		
P83859;A3KFJ6;Q495K6	QRFP		
Q8N573;A6NK11;A8KA34;B3KXL1;B7Z402;B7Z8N5;D3HIS6;Q3LIB5;Q6ZVK9;Q8N8V0;Q9H266;Q9NWC7	OXR1		
Q15391;Q8IYT7	P2RY14		
Q9NXG6;Q6PAG6;Q8TCJ9;Q8WV55;Q96F22;Q9BW77	P4HTM		
Q9BTU6;D3DR59;Q9NSG8	PI4K2A		
Q8TCG2;Q9NUW2	PI4K2B		
Q06416;D5K9S4;D5K9S9;D5K9T0;D5K9T1;D5K9T3;D5K9U3;D5K9U6;D5K9V4;D5K9V6;D5K9W0;D5K9W2;D5K9W7;D5K9X2;D5K9X3;D5K9X5;D5K9X8;D5K9X9;E9LRB1;E9LRB2;E9LRH5;E9LRH6;E9LRH7;E9LRK4;E9LRK5;E9LRK7;E9LRK8;E9LRM7;E9LRM9;E9LRN2;E9LRN4;E9LRN5;E9LRP8;E9LRQ0;E9LRQ2;E9LRQ3;E9LRQ4;E9LRQ5;E9LRS3;Q2VIK6;Q9BZV7;Q9BZV9	POU5F1B		
O14683;Q3ZCS0	TP53I11		
Q8NBR0;Q7L5U3	TP53I13		
Q9NZ20;O95768	PLA2G3		
Q9UQ80;O43846;Q9UM59	PA2G4		
P39877;Q8N435	PLA2G5		
P14555;A8K5I7;Q6DN24;Q6IBD9;Q9UCD2	PLA2G2A		
Q5R387;Q7M4M6	PLA2G2C		
Q8IZE3;A8K8Z2;Q5THA6;Q5THA8;Q8IZN9;Q96C56;Q9UBK6	SCYL3		
Q9H714;A8KAG9;A8XR19;B3KS87;Q5W051;Q5W053;Q6PJ74;Q6PK94;Q86XH7;Q8N5J6	RUBCNL		
Q9BY11;Q9P2G8	PACSIN1		
Q9BTK6;A2ICR6	PAGR1		
Q8WX93;B3KTG2;B5MD56;B7ZMM5;Q7L3E0;Q7Z3W0;Q86WE8;Q8N1M2;Q9UGA0;Q9UQF5;Q9Y2J6;Q9Y3E9	PALLD		
Q8IXS6;A9Z1X9;Q8N9D5;Q96DU1	PALM2		
A6NDB9	PALM3		
Q9NP74;Q9H7E6;Q9NPM5;Q9NPM6;Q9NPS0	PALMD		
Q9UGN5;Q8TEU4;Q9NUV2;Q9UMR4;Q9Y6C8	PARP2		
Q9Y6F1;Q8NER9;Q96CG2;Q9UG81	PARP3		
Q9UKK3;O75903;Q14682;Q5QNZ9;Q9H1M6	PARP4		
Q2NL67;Q9H7C5;Q9H9X6;Q9HAF3;Q9NPS6;Q9UFG4	PARP6		
Q96IZ0;O75796;Q6FHY9;Q8N700	PAWR		
P15863;B4E0D6;Q642X9;Q6NTC0;Q9Y558	PAX1		
Q9BVG4	PBDC1		
P40424;B4DSC1;F5H4U9;Q5T488	PBX1		
Q9Y5E1;Q2M2U8;Q496X9;Q9NRJ8	PCDHB9		
Q9UN67;Q96T99	PCDHB10		
Q9Y5F2;B4DSF7;Q2M223	PCDHB11		
Q9Y5F1;B4DDU1	PCDHB12		
Q9Y5F0;A8K9V6	PCDHB13		
Q9Y5E9;B4DPE2;Q4FZA4;Q4KN11	PCDHB14		
Q9Y5E8;Q8IUX5	PCDHB15		
Q9NRJ7;B3KPK5;Q8IYD5;Q96SE9;Q9HCF1	PCDHB16		
Q96TA0;B3KTF8	PCDHB18P		
O94913;A6H8W7;O43671;Q6P0X8	PCF11		
P35558;A8K437;B4DT64;Q8TCA3;Q9UJD2	PCK1		
Q16822;B4DW73;O43253;Q86U01;Q9BV62	PCK2		
Q58A44	PCOTH		
Q9UHG2;Q4VC04	PCSK1N		
Q9BRP1	PDCD2L		
Q9Y233;Q6FHX1;Q9HCP9;Q9NTV4;Q9ULW9;Q9Y5T1	PDE10A		
Q9HCR9;Q14CD1;Q53T16;Q96S76;Q9GZY7;Q9HB46;Q9NY45	PDE11A		
P04085;B5BU73	PDGFA		
P01127;G3XAG8;P78431;Q15354;Q6FHE7;Q9UF23	PDGFB		
Q9NRA1;B4DU34;B9EGR8;Q4W5M9;Q9UL22	PDGFC		
Q9GZP0;A8K9T6;Q9BWV5	PDGFD		
Q9NUG6;B2R511;Q96GP3;Q9BUW8	PDRG1		
P52945;O60594;Q5VYW2	PDX1		
Q5VY43;Q8TEK2	PEAR1		
Q9NZ42;B2R5L9	PSENEN		
Q8NDH3;A6NGZ0;B4DMW7;B7ZBN0;E9PN47;G5EA34;Q53G37;Q5W083;Q8TF28;Q8WUI2;Q9H1T6;Q9HAI5	NPEPL1		
O60437;O60314;O60454;Q14C98	PPL		
O15534;B2RPA8;B4DI49;D3DTR3	PER1		
Q96FX8;B2RB73;E1P590;Q8IWS3;Q8N1J6;Q8NC16;Q9H1C5;Q9H230	PERP		
P56589;Q6FGP5	PEX3		
O60925;B2RD02;Q53F95;Q96EX6	PFDN1		
Q9UHV9;Q9P0P7;Q9UN05	PFDN2		
Q15198;A8K085;Q6FH04	PDGFRL		
Q32M88;Q658X8;Q8TEG9;Q9H635	PGGHG		
P23219;A8K1V7;B4DHQ2;B4E2S5;Q15122;Q3HY28;Q3HY29;Q5T7T6;Q5T7T7;Q5T7T8	PTGS1		
P36871;B2R5N9;B4DPV0;Q16105;Q16106;Q5BKZ9;Q6NW22;Q86U74;Q96J40;Q9NTY4	PGM1		
Q6PCE3;Q96MQ7;Q9UIK3	PGM2L1		
Q96G03;B4E0G8;Q53FP5;Q5QTR0;Q9H0P9;Q9NV22	PGM2		
P53609;Q5MJP9	PGGT1B		
P53611;Q92697	RABGGTB		
P78364;D3DUV4;Q8WVM3;Q9BU63	PHC1		
Q8IXK0;A1L4Q1;A8KA40;D3DPR2;Q2TAL3;Q5T0C1;Q6NUJ6;Q6ZQR1;Q8N306;Q8TAG8;Q96BL4;Q9Y4Y7	PHC2		
Q8NDX5;A2RRP9;Q5HYF0;Q6NSG2;Q8NFT7;Q8NFZ1;Q8TBM2;Q9H971;Q9H9I4	PHC3		
Q86UU1;B0YJ63;B0YJ64;O75133;Q4KMF8;Q8TEQ2	PHLDB1		
Q86SQ0;A5PKZ3;Q59EA8;Q68CY3;Q6NT98;Q8N8U8;Q8NAB1;Q8NCU5	PHLDB2		
Q6NSJ2;Q8N7Z4	PHLDB3		
Q8TCT1;E9PAM0;Q17RU6	PHOSPHO1		
Q8TCD6;B2RC30;D3DPC7	PHOSPHO2		
O43692;Q68CY1	PI15		
Q6UXB8;Q6ZVG9;Q8IYL8;Q8NBK0;Q8TCB8	PI16		
O95427;Q7L8F8;Q8TC01;Q9NT05	PIGN		
Q8TEQ8;B1AML3;Q6P154;Q6UX80;Q8TDS8;Q96CS9;Q9BVN9;Q9Y4B0	PIGO		
P57054;A0A0C4DH71;B2RB18;B2RE99;B5BU92;D3DSG7;J3KR75;Q53Y28;Q96KI1;Q9NZA6	PIGP		
Q9BRB3;A2IDE1;D3DU52;O14927;Q96G00;Q96S22;Q9UJH4	PIGQ		
Q9UKF7;A8K473;J3QR20;Q96I07	PITPNC1		
P42336;Q14CW1;Q99762	PIK3CA		
P42338;D3DNF0;Q24JU2	PIK3CB		
O00329;A6NCG0;G1FFP1;O15445;Q5SR49	PIK3CD		
P48736;A4D0Q6;Q8IV23;Q9BZC8	PIK3CG		
Q13018;B2RTU9;D3DPB1;Q13019;Q15095;Q53R45;Q53RR7	PLA2R1		
Q01970;A5PKZ6;G5E960;Q8N1A4	PLCB3		
Q15147;B7ZLK6;E2QRH8;Q17R56;Q5JYS8;Q5JYS9;Q5JYT0;Q5JYT3;Q5JYT4;Q9BQW5;Q9BQW6;Q9BQW8;Q9UJQ2	PLCB4		
O15120;O00516;O15106;Q5VUD3;Q5VUD4;Q9BSV7;Q9BWR7	AGPAT2		
Q9NRZ7;D3DSL2;Q3ZCU2;Q6UWP6;Q6ZUC6;Q8N3Q7;Q9NRZ6	AGPAT3		
P51178;B3KR14;Q86VN8	PLCD1		
P02776;Q53X61;Q9UC64;Q9UC65	PF4		
Q15195	PLGLA		
Q02325;Q580R1	PLGLB2		
P49763;Q07101;Q9BV78;Q9Y6S8	PGF		
A0A3B3IS91	POLG		
Q6UW63;Q53HL3;Q9BVD2	POGLUT2		
Q7Z4H8;Q6UWW2;Q6ZUM9;Q8N7L8;Q8NE24	POGLUT3		
P00747;Q15146;Q5TEH4;Q6PA00	PLG		
Q7Z2D5;E7EPS1;O75043;Q5T9R9;Q86XQ5;Q8N3F1;Q96MP0	PLPPR4		
Q32ZL2;A8MPX4;B7UCH3;Q32ZD0;Q3ZCU7	PLPPR5		
Q14651;A8K2Q1;D3DNG3;Q8NEG6	PLS1		
P13796;B2R613;B4DUA0;Q5TBN4	LCP1		
Q9HCM2;A4D1N6;E9PAM2;Q6UWC6;Q6ZW89;Q8N969;Q8ND00;Q8NEN3;Q9NTD4	PLXNA4		
O43157;A6H8Y2;Q6NY20;Q9UIV7;Q9UJ92;Q9UJ93	PLXNB1		
O15031;A6QRH0;Q7KZU3;Q9BSU7	PLXNB2		
Q9ULL4;B7Z3E6;F5H773;Q9HDA4	PLXNB3		
O60486;Q59H25	PLXNC1		
Q9Y4D7;A7E2C6;C9JPZ6;Q6PJS9;Q8IZJ2;Q9BTQ2	PLXND1		
P29590;E9PBR7;P29591;P29592;P29593;Q00755;Q15959;Q59FP9;Q8WUA0;Q96S41;Q9BPW2;Q9BWP7;Q9BZX6;Q9BZX7;Q9BZX8;Q9BZX9;Q9BZY0;Q9BZY2;Q9BZY3	PML		
Q92871;A8K003;Q92586	PMM1		
O15305;A8K672;B7Z6R0;D3DUF3	PMM2		
Q8NA58;Q5TAP7;Q8N7X5	PNLDC1		
P22103			
Q8WVV4;A8K2U5;Q5H9E9;Q5H9F0;Q8NG12;Q9H5Y2;Q9H738;Q9H744	POF1B		
Q15063;B1ALD8;C0IMJ1;C0IMJ2;C0IMJ4;D2KRH7;F5H628;Q15064;Q29XZ0;Q3KPJ5;Q5VSY5;Q8IZF9	POSTN		
P62714;D3DSV4;P11082;Q6FHK5	PPP2CB		
P15309;D3DNC6;Q5FBY0;Q96KY0;Q96QK9;Q96QM0	ACP3		
Q07869;B0G0X3;Q16241;Q6I9S0;Q92486;Q92689;Q9Y3N1	PPARA		
Q03181;A8K6J6;B4E3V3;B6ZGS1;B7Z3W1;E9PE18;Q5D1P0;Q7Z5K0;Q9BUD4	PPARD		
P62937;A8K220;P05092;Q3KQW3;Q567Q0;Q6IBU5;Q96IX3;Q9BRU4;Q9BTY9;Q9UC61	PPIA		
Q8WVI7;Q5HYJ5;Q8TD54	PPP1R1C		
Q6ZMI0;B7ZKY5;B7ZKY7;E1B6W7;Q2TA78;Q6ZMI6;Q8IW83;Q8J029;Q96ES8	PPP1R21		
Q5T8A7;Q86WU0;Q8WVV0;Q9Y4D3	PPP1R26		
